Author,Date,Content
Xanrox,27-Jun,"Is the bullish cycle really over? Definitely yes, and in this analysis, I will tell you why! The crypto market is dying in front of our eyes, if you are a hodler of many coins, you can see it very clearly on your account balance. Bitcoin failed to sustain the key level of 62k (0.618 FIB), which is an extremely strong sign of weakness. If you take a look at my Elliott Wave count, you see that the major impulse wave (12345) is complete. This is an impulse wave from the start of the bull market (15476) to the end of the bull market (73777). Take a look at wave (2) and wave (4), they both have a 21.35% pullback, so this Elliott Wave count perfectly matches.

The next reason is the rectangular range at the top of the uptrend. The range is clearly breaking down, which is another sign of weakness. What's more, we have an upward-sloping trendline that is breaking down as well. Currently, there is nothing bullish on this chart. Statistically, what is a classic correction for Bitcoin during major bear markets? 90%, 84%, or 77%. On the chart, I highlighted the 0.618 Fibonacci retracement for a 54% correction. But will this Fibonacci level really hold? Maybe temporary, but at the end, the price will go below it sooner or later.

What we can also consider is the 20 weekly moving average. Bitcoin is currently below it, and we didn't even see any reaction whatsoever.

What to do now? Should you sell your Bitcoin? My arguments are really strong, and I don't even want to know what is going to happen with altcoins. Will altcoins become dust? I am bearish.

Let me know what you think about my analysis in the comment section, and please hit boost and follow for more ideas. Trading is not hard if you have a good coach! Thank you, and I wish you successful trades.
54% crash is nothing. We haven't had a significant crash since the start of the bull run in November 2022."
Xanrox,28-Jun,"Always follow my latest updates and ideas. As a trader, you have to have a strong ability to change your bias and flip your outlook as soon as possible.
The majority in the comment section is very bullish. Now, do you want to be a contrarian or go with the crowd?"
Xanrox,29-Jun,I hope you are prepared for what is coming. I see a big crash on altcoins (50% - 80%) as well.
Xanrox,5-Jul,"The big crash had clearly started. A lot of people are in disbelief, but the good news is that we will not go down in a straight line. The market always moves in waves, and we have significant levels on the way down. If you are still holding Bitcoin/altcoins, now you see your account balance is decreasing, so make sure you sell during the next corrective wave to the upside!"
Xanrox,7-Jul,Bitcoin continues to be very weak compared to other markets. It looks like the crypto hype is completely over. Is Bitcoin still a good investment?
AlanSantana,3-Jul,"Bitcoin is likely to continue straight down...  This is another instance were no significant recovery is taking place.  The lack of volume on the bounce indicates that the bulls are not ready to play.  The way market psychology works is quite intriguing... We can guess how the market will behave by considering market psychology.  What are most people expecting?  What is the feeling/market sentiment right now? Are people in fear and panic?  Are people in greed?  Tops tend to be accompanied by euphoria, excitement and greed.  Market bottoms tend to be accompanied by extreme fear and panic.  While Bitcoin produced a small drop, there is no fear, no surprise nothing. "
AlanSantana,3-Jul,"People are doing fine and this is good... It is good that people are healthy and strong. But, for us market analysts, this reveals that the correction might not be over after all. There are tens of thousands of new participants... No! Hundreds of thousands! Nay! Millions. Millions of people joined the Cryptocurrency market, bought Bitcoin, in the past 18 months.  These people had a nice ride and experienced a new all-time high but they have not experienced the other side. ust as we all went through a crash after seeing massive growth and expecting forever more when we started to trade, something similar tends to happen to every new ""generation"" of traders/participants Ñthat is what is most likely to happen next. "
AlanSantana,3-Jul,"I am not calling for pain;  I am not calling for new lows...  I am not hoping that people will suffer and lose money; No!  This is a warning because I've been through the rollercoaster of down, back down then up.  I've been hoping and wishing and desiring with anxiety, my hair falling down; always positive but look at the price... Bitcoin was trading at 74,000 in March and now the price is 58,000... It is going down not up. Seeing how most people continue bullish after four months of down, no growth; reminds me of those times when people were yelling at us trying to warn us and we continued to expect growth. "
AlanSantana,3-Jul,"Yes, Bitcoin will grow but only after we experience this corrections bottom low. We will know when the low is in because there will be fear and massive panic all across. 
People will be talking about quitting Crypto, selling all Bitcoin and never looking back... That will be the perfect time to look for a great entry; The time to buy. When everything becomes super-negative, in just a matter of weeks, or maybe days... That's the signal that a reversal is on its way.  When the market sentiment is full confidence even though we are having red for four months; it means that the worst part is yet to come. Thank you for reading.  Consider a follow for more trade ideas, content and altcoins. "
FieryTrading,7-Jul,"Bitcoin has been falling off hard over the last couple of days. While we're currently trading almost 10% above the 53.4k lows, the downtrend has been established and BTC bulls are losing the fight in the short-term. In my view, BTC has confirmed a longer-term downtrend by making a lower-low (56.7k was the previous low, blue line) and by falling through the 200-day SMA. "
FieryTrading,7-Jul,"Yes, I can see us bounce a bit further because of indicators being very oversold, but I'm not expecting a new all-time high anytime soon.  My current most likely scenario is a move towards the dotted purple support over the next 2-3 months and a bullish reversal in Q4. How do you seen BTC perform? Share your thoughts."
FirstNameHelen,10-Jul,"Hi folks today I'm prepared for you Bitcoin analytics. A not long time ago price declined to the resistance level, which coincided with the resistance zone, and some time traded inside, after which rebounded up to 63900 points. After this movement, the price turned around and started to decline inside the downward pennant, where it soon broke the resistance level and fell firstly to the support level, which coincided with the support zone. Soon, BTC broke the 55400 level and fell to the trend line, but then it at once rebounded and rose back, making a fake breakout of a support level. Then price rose a little more and made a correction to the support zone. After this movement, BTC rebounded and rose to the resistance line of the pennant and recently exited from this pattern. Also, it made a retest and now I expect that BTCUSDT will make a small movement down and then start to grow to the resistance level. That's why I set my goal at the 60700 level."
CharlesBroo,11-Jul,"As Charles mentioned in last week's analysis, BTCUSDT is currently in a corrective recovery phase, receiving support at $54,000. However, overcoming the $60,000 resistance seems challenging and remains the target. Currently, BTCUSDT is trading stably around 58,244 USD and there are no signs of a reversal trend for this pair. Given the current trend, an upside is possible, but it may not last long as it approaches resistance. Because the chart has gradually formed a price flag pattern that shows that once it hits the resistance level, it will continue to move downward, as shown on the chart. Charles still maintains strong belief in the downtrend next week. Once the current support level is broken, there will be nothing to stop BTC from falling further. What are your thoughts on this perspective?"
Finn_Oakes,11-Jul,"Hello passionate traders, do you think we should buy or sell BTCUSDT today? Let's dive in together!  Currently, BTCUSDT is trading within an upward correction, moving inside a parallel channel targeting the 60,000 USD mark. My plan is to buy once it touches the lower boundary of the channel again.  That's my short-term buying strategy for this article. What are your thoughts on BTCUSDT? Leave a comment so we can discuss it together!  Wishing you happy and profitable trading!"
LegionQ8,10-Jul,"Hello traders, I want share with you my opinion about Bitcoin. Looking at the chart, we can see how the price some time traded in the seller zone and then broke the 63800 level, after which fell to the current resistance level. After this, the price started to trades inside the range, where it rebounded from the 59100 level and in a short time rose to the 63800 level, but then it turned around and started to decline. The price quickly fell to the current resistance level, broke it, thereby exiting from the range also, and continued to fall. When BTC declined to 53500 points, it turned around and started to grow inside the upward channel, where it in a short time rose to the resistance line of the channel. After this movement, the price rebounded and made a correction to the support line, after which BTC bounced and recently rose almost to the resistance area, which coincided with the current resistance level. In my opinion, the price can reach the resistance area, after which Bitcoin will turn around and start to decline to support line of the channel. For this case, I set my TP at 54750 points, which coincided with this line."
Luca_vip,9-Jul,"Regarding news: The cryptocurrency market is heavily influenced by the latest decision of Fed on interest rates.  According to the 1-hour chart on TradingView, BTCUSDT is in an accumulation phase and tends to move sideways, potentially continuing to fluctuate within this range before a new breakout.  BTCUSDT has created a strong support zone at around 55,000 USD and a strong resistance zone at around 57,500 USD. The RSI index is at 58.76, indicating that the market is neither overbought nor oversold and may continue to accumulate in the short term. "
Luca_vip,9-Jul,"In the short term, BTCUSDT may continue to fluctuate within the current range, with a slight upward trend to test the 57,500 USD resistance level. Conversely, if the price does not break through this resistance level, it is likely to see a downward adjustment to the 55,000 USD support level before continuing the accumulation or rising trend."
weslad,9-Jul,"Bitcoin recently approached the anticipated 50k level, nearly fulfilling our previous projection. However, increased selling pressure suggests a potential further decline. The 50k zone now serves as a crucial internal demand area, and its reaction will be pivotal for short-term price direction.  Should the 50k support fail, we've identified a strong external demand area on the chart that's expected to halt any deeper retracement. This zone provides a robust foundation for potential accumulation and trend reversal.  On the upside, an immediate resistance level has been identified as a potential sell-off point. We should monitor this level for possible profit-taking or short entry opportunities. "
weslad,9-Jul,"The current price action indicates a continued bearish bias in the short term, but the identified support levels offer potential for a bullish reversal. We should closely watch for signs of buying pressure or bullish divergences at these key levels.  Overall, Bitcoin's price movement remains within the anticipated range, with critical support and resistance levels clearly defined.  Risk management is crucial given the current market volatility."
Finn_Oakes,10-Jul,"Hello everyone, what do you think about BTCUSDT? From the chart, it's evident that BTCUSDT remains in a downtrend, characterized by significant selling volume shown by the long red bars and a well-maintained descending trendline. Currently, the price is holding at $57,403.99 with a daily adjustment of over 1%. However, the recovery remains limited by two major resistance levels clearly marked on the chart.
From my perspective, I still favor the strategy of selling in line with the main trend. Pay attention to the marked levels to find suitable trading points, and don't forget to set your take profit (TP) and stop loss (SL) orders to ensure safety."
Cryptorphic,4-Jul,"Welcome to this Idea on Bitcoin.  As speculated in my previous update, the price was unable to break the 100 EMA, resulting in a rejection and subsequent decline. Now, $56,452 appears to be the next significant level to monitor. The 200 SMA on the daily chart is also crucial, with the price currently trading around this level. Let's observe if this support holds.  It's important that funds currently in meme coins shift to stronger assets, as they are siphoning liquidity from the market.  Patience is key here. I've posted over 30 altcoin charts in the last 8 days, and prices are gradually moving towards accumulation levels. If this cycle mirrors previous ones, the current market depression will soon end. We just need to stay vigilant and look for opportunities. "
